,state,keyword,query,value
69,FL,why,winston 13 reasons why,9850.0
70,FL,will,will cain,23200.0
71,GA,can,can dogs eat pineapple,3550.0
72,GA,how,how do lobsters communicate,1500.0
73,GA,what,what is juneteenth,5500.0
74,GA,when,when is fathers day usa 2020,21350.0
75,GA,where,where is the dust storm now,14950.0
76,GA,which,ksu d2l,12100.0
77,GA,who,who is running for president 2020,11050.0
78,GA,why,space force why is wife in jail,14300.0
79,GA,will,will cain,750.0
80,HI,how,how many ounces in a gallon,100.0
81,HI,what,what is juneteenth,21000.0
82,HI,when,when is fathers day 2020,34750.0
83,HI,where,where is the love lyrics,12150.0
84,HI,why,13 reasons why cast,15700.0
85,HI,will,will smith,100.0
86,IA,can,can redemption,100.0
87,IA,how,how much is the ps5,2300.0
88,IA,what,what is juneteenth,28900.0
89,IA,when,when was slavery abolished,14800.0
90,IA,where,where am i,100.0
91,IA,who,who is antifa,44100.0
92,IA,why,13 reasons why season 4,44800.0
93,IA,will,george will,350.0
94,ID,how,how do lobsters communicate,2900.0
95,ID,what,what does acab mean,8400.0
96,ID,when,when are idaho state taxes due,11450.0
97,ID,where,where am i,100.0
98,ID,why,13 reasons why,750.0
99,ID,will,will there be a second stimulus check,250.0
100,IL,can,8 can wait,5550.0
101,IL,how,how to be an antiracist,800.0
102,IL,what,what is blackout tuesday,4900.0
103,IL,when,when is fathers day usa 2020,10900.0
104,IL,where,the room where it happened,20500.0
105,IL,which,which wich,100.0
106,IL,who,who asymptomatic,33200.0
107,IL,why,13 reasons why season 4 cast,12850.0
108,IL,will,larry walsh will county,7850.0
109,IN,can,can dogs eat apples,4700.0
110,IN,how,how to get ios 14,3600.0
111,IN,what,what is blackout tuesday,6050.0
112,IN,when,when is fathers day usa 2020,21250.0
113,IN,where,the room where it happened,23000.0
114,IN,which,which wich,100.0
115,IN,who,who won indiana primary 2020,14900.0
116,IN,why,why was george floyd stopped,15100.0
117,IN,will,will cain,300.0
118,KS,can,beer can chicken,100.0
119,KS,how,how do lobsters communicate,4200.0
120,KS,what,what is juneteenth,28450.0
121,KS,when,when is fathers 2020,20550.0
122,KS,where,where am i,170.0
123,KS,which,which wich,150.0
124,KS,who,who is candace owens,12100.0
125,KS,why,13 reasons why,550.0
126,KS,will,how much will the ps5 cost,10800.0
127,KY,can,where can i vote in louisville ky,3550.0
128,KY,how,how many steps are in a mile,2600.0
129,KY,what,what is blackout tuesday,6400.0
130,KY,when,when is fathers day usa 2020,22750.0
131,KY,where,where do i vote ky,43600.0
132,KY,who,who won kentucky primary,33200.0
133,KY,why,13 reasons why season 4 cast,13400.0
134,KY,will,good will hunting,250.0
135,LA,can,can am,100.0
136,LA,how,how to get ios 14,5450.0
137,LA,what,what did drew brees say,7050.0
138,LA,when,when is fathers day usa 2020,17300.0
139,LA,where,where am i,100.0
140,LA,who,who was george floyd,25050.0
141,LA,why,13 reasons why cast,54900.0
142,LA,will,will americans get a second stimulus check,11500.0
143,MA,can,when can gyms open in massachusetts,5350.0
144,MA,how,how do lobsters communicate,2650.0
145,MA,what,what is blackout tuesday,5150.0
146,MA,when,when do nail salons open in ma,18250.0
147,MA,where,the room where it happened,22250.0
148,MA,which,google classroom,100.0
149,MA,who,who is antifa in usa,8600.0
150,MA,why,space force why is wife in jail,13050.0
151,MA,will,i understand that i will never understand,22650.0
152,MD,can,can dogs eat watermelon,400.0
153,MD,how,how to be an antiracist,4350.0
154,MD,what,what is daca,4350.0
155,MD,when,when is fathers day usa 2020,12000.0
156,MD,where,where is homely hills in fortnite,8700.0
157,MD,which,google classroom,100.0
158,MD,who,who owns dave and busters,13950.0
159,MD,why,why are cops called 12,7800.0
160,MD,will,will cain,22700.0
161,ME,can,can am,100.0
162,ME,how,how to be an antiracist,8200.0
163,ME,what,what is antifa,750.0
164,ME,when,when is fathers day,500.0
165,ME,where,where is my stimulus check,100.0
166,ME,why,13 reasons why season 4,28150.0
167,ME,will,will there be another stimulus check,100.0
168,MI,can,when can restaurants reopen in michigan,5100.0
169,MI,how,how much is the ps5,4400.0
170,MI,what,what is blackout tuesday,5350.0
171,MI,when,when do gyms open in michigan,27150.0
172,MI,where,where to watch legend of korra,10050.0
173,MI,which,which wich,100.0
174,MI,who,who asymptomatic,23250.0
175,MI,why,justin 13 reasons why,25350.0
176,MI,will,when will movie theaters open in michigan,18350.0
177,MN,can,can you get covid-19 twice,8000.0
178,MN,how,how do lobsters communicate,2900.0
179,MN,what,what is juneteenth,28650.0
180,MN,when,when is fathers day usa 2020,18450.0
181,MN,where,the room where it happened,23400.0
182,MN,who,who is candace owens,17950.0
183,MN,why,space force why is wife in jail,9100.0
184,MN,will,george will,250.0
185,MO,can,can dogs eat bananas,2500.0
186,MO,how,how do lobsters communicate,1800.0
187,MO,what,what is juneteenth,36300.0
188,MO,when,when is fathers day usa 2020,16050.0
189,MO,where,where is the sahara desert,13850.0
190,MO,which,which wich,100.0
191,MO,who,who is antifa,22350.0
192,MO,why,why is it called juneteenth,5000.0
193,MO,will,will there be a second stimulus payment,12900.0
194,MS,can,can am,100.0
195,MS,how,how much is the ps5,2000.0
196,MS,what,what is juneteenth,39350.0
197,MS,when,when is fathers day usa 2020,10450.0
198,MS,where,the room where it happened,16350.0
199,MS,why,13 reasons why cast,29700.0
200,MS,will,will there be a second stimulus payment,13050.0
201,MT,how,how many coronavirus cases in montana,100.0
202,MT,what,what is antifa,600.0
203,MT,when,when is fathers day,300.0
204,MT,where,where am i,100.0
205,MT,why,13 reasons why cast,31250.0
206,NC,can,can you get covid-19 twice,3300.0
207,NC,how,how do lobsters communicate,1300.0
208,NC,what,what is blackout tuesday,6700.0
209,NC,when,when is fathers day usa 2020,15950.0
210,NC,where,the room where it happened,18200.0
211,NC,which,which wich,100.0
212,NC,who,who won the race today,22650.0
213,NC,why,why is it called juneteenth,11300.0
214,NC,will,how much will ps5 cost,38100.0
215,ND,how,how many ounces in a gallon,100.0
216,ND,what,what is juneteenth,26900.0
217,ND,when,when is fathers day,300.0
218,ND,why,13 reasons why cast,18300.0
219,NE,can,can dogs have watermelon,11250.0
220,NE,how,how much is the ps5,4600.0
221,NE,what,what day is fathers day,6700.0
222,NE,when,when is fathers day usa 2020,7000.0
223,NE,where,where am i,100.0
224,NE,which,which wich,100.0
225,NE,why,13 reasons why season 4,350.0
226,NE,will,how much will the ps5 cost,13600.0
227,NH,can,how much house can i afford,6550.0
228,NH,how,how many teaspoons in a tablespoon,3000.0
229,NH,what,what is daca,4100.0
230,NH,when,when is fathers day,110.0
231,NH,who,who is candace owens,100.0
232,NH,why,13 reasons why season 4,29650.0
233,NH,will,will smith,100.0
234,NJ,can,can you get covid-19 twice,4050.0
235,NJ,how,how much is the ps5,850.0
236,NJ,what,what is blackout tuesday,7300.0
237,NJ,when,when do gyms open in nj,17200.0
238,NJ,where,where to get tested for covid-19,13000.0
239,NJ,who,who asymptomatic,23400.0
240,NJ,why,13 reasons why season 4 cast,13350.0
241,NJ,will,when will retail stores reopen in nj,14550.0
242,NM,can,tin can alley abq,22550.0
243,NM,how,how many ounces in a gallon,100.0
244,NM,what,what is juneteenth,23050.0
245,NM,when,when they see us,17850.0
246,NM,where,the room where it happened,8650.0
247,NM,which,which wich,100.0
248,NM,who,who is anonymous,110.0
249,NM,why,13 reasons why season 4,400.0
250,NM,will,good will,110.0
251,NV,can,all you can eat sushi,350.0
252,NV,how,how to play craps,2850.0
253,NV,what,what is blackout tuesday,6300.0
254,NV,when,when is fathers day usa 2020,16100.0
255,NV,where,where am i,100.0
256,NV,who,who is candace owens,13950.0
257,NV,why,13 reasons why,700.0
258,NV,will,will ferrell,100.0
259,NY,can,can americans travel to europe,1950.0
260,NY,how,you enter a bedroom. there are 34 people. you kill 30. how many are in the bedroom?,900.0
261,NY,what,what is blackout tuesday,6050.0
262,NY,when,when is fathers day usa 2020,13250.0
263,NY,where,where to donate blm,13100.0
264,NY,which,quizlet,100.0
265,NY,who,who is candace owens,13350.0
266,NY,why,why fireworks every night,8600.0
267,NY,will,when will barbershops reopen in ny,15150.0
268,OH,can,8 can wait,4700.0
269,OH,how,how do lobsters communicate,1450.0
270,OH,what,what does defund the police mean,5050.0
271,OH,when,when is fathers day usa 2020,17050.0
272,OH,where,the room where it happened,14450.0
273,OH,which,which wich,100.0
274,OH,who,who killed bryce walker,17200.0
275,OH,why,why was george floyd stopped,12800.0
276,OH,will,will ohio shut down again,19100.0
277,OK,can,can dogs have watermelon,3650.0
278,OK,how,how to register to vote in oklahoma,4250.0
279,OK,what,what is juneteenth,32300.0
280,OK,when,when is fathers day usa 2020,20750.0
281,OK,where,where do i vote,26400.0
282,OK,who,who killed bryce walker,13650.0
283,OK,why,13 reasons why,600.0
284,OK,will,will ferrell,110.0
285,OR,can,how much house can i afford,100.0
286,OR,how,how much is the ps5,3650.0
287,OR,what,what is blackout tuesday,9550.0
288,OR,when,when did slavery end,15300.0
289,OR,where,the room where it happened,23500.0
290,OR,which,which wich,200.0
291,OR,who,who asymptomatic,20000.0
292,OR,why,13 reasons why,650.0
293,OR,will,i understand that i will never understand,14500.0
294,PA,can,8 can wait,5250.0
295,PA,how,how do lobsters communicate,1050.0
296,PA,what,what is juneteenth,7050.0
297,PA,when,when is juneteenth,9550.0
298,PA,where,the room where it happened,38700.0
299,PA,which,which way should a ceiling fan spin,12050.0
300,PA,who,who died in 13 reasons why,9600.0
301,PA,why,why is it called juneteenth,12200.0
302,PA,will,when will montgomery county pa move to green,14250.0
303,RI,how,how many ounces in a gallon,300.0
304,RI,what,what is antifa,38950.0
305,RI,when,when is fathers day,350.0
306,RI,why,13 reasons why cast,39000.0
307,RI,will,will there be a second stimulus check,100.0
308,SC,can,all you can eat crab legs near me,4450.0
309,SC,how,how long did the confederacy last,2350.0
310,SC,what,what is juneteenth,39700.0
311,SC,when,when is fathers day usa 2020,21000.0
312,SC,where,where do i vote in sc,24000.0
313,SC,which,which wich,100.0
314,SC,who,who owns dave and busters,10850.0
315,SC,why,why was george floyd stopped,19300.0
316,SC,will,george will,140.0
317,SD,how,how many ounces in a gallon,100.0
318,SD,what,what is antifa,350.0
319,SD,when,when is fathers day,100.0
320,SD,why,13 reasons why,180.0
321,TN,can,where can i watch yellowstone,4700.0
322,TN,how,how to freeze peaches,1650.0
323,TN,what,what is chaz,6100.0
324,TN,when,when is fathers day usa 2020,14600.0
325,TN,where,the room where it happened,13400.0
326,TN,which,which wich,100.0
327,TN,who,who is anonymous,19000.0
328,TN,why,why was george floyd stopped,22600.0
329,TN,will,will cain,120.0
330,TX,can,can you get covid-19 twice,5800.0
331,TX,how,how do lobsters communicate,1000.0
332,TX,what,what is blackout tuesday,5000.0
333,TX,when,when is ios 14 coming out,8950.0
334,TX,where,where is the dust storm,13200.0
335,TX,which,which way should fan spin,350.0
336,TX,who,who died in 13 reasons why,11600.0
337,TX,why,winston 13 reasons why,10250.0
338,TX,will,how long will the sahara dust last,10300.0
339,UT,can,can you get covid 19 twice,3900.0
340,UT,how,how old is joe biden,1750.0
341,UT,what,what is juneteenth,44500.0
342,UT,when,when does ios 14 come out,13000.0
343,UT,where,the room where it happened,9000.0
344,UT,who,who asymptomatic,20200.0
345,UT,why,why is walmart closed,6100.0
346,UT,will,will cain,18050.0
347,VA,can,8 can wait,2550.0
348,VA,how,how tall is barron trump,1500.0
349,VA,what,what is blackout tuesday,6250.0
350,VA,when,when is juneteenth,18250.0
351,VA,where,the room where it happened,12850.0
352,VA,which,which wich menu,450.0
353,VA,who,who asymptomatic,34750.0
354,VA,why,why is it called juneteenth,11700.0
355,VA,will,when will phase 3 start in virginia,22550.0
356,VT,what,what is juneteenth,13850.0
357,VT,when,when is fathers day,200.0
358,VT,why,13 reasons why,250.0
359,WA,can,8 can wait,4550.0
360,WA,how,how to be an antiracist,700.0
361,WA,what,what is chaz,9400.0
362,WA,when,when is fathers day usa 2020,14450.0
363,WA,where,where is chop,19800.0
364,WA,who,who asymptomatic,27550.0
365,WA,why,why is it called juneteenth,11400.0
366,WA,will,will cain,29500.0
367,WI,can,catch me if you can,150.0
368,WI,how,how do lobsters communicate,2400.0
369,WI,what,what does defund the police mean,7600.0
370,WI,when,when is fathers day usa 2020,14750.0
371,WI,where,where to print photos near me,14900.0
372,WI,which,which wich,100.0
373,WI,who,who is candace owens,26500.0
374,WI,why,why was george floyd stopped,18500.0
375,WI,will,will ryan basketball coach,10950.0
376,WV,can,can am commander,160.0
377,WV,how,how to get rid of bed bugs,3450.0
378,WV,what,what is juneteenth,25950.0
379,WV,when,when is fathers day,450.0
380,WV,where,where the crawdads sing,100.0
381,WV,who,who killed bryce walker,100.0
382,WV,why,13 reasons why,147950.0
383,WV,will,will smith,100.0
384,WY,how,how many ounces in a gallon,100.0
385,WY,what,what is juneteenth,120.0
386,WY,when,when is fathers day,200.0
387,WY,where,where am i,100.0
388,WY,why,13 reasons why,500.0
